,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year_data_collected,Grouped_Sector
137,BharatPe,2018,New Delhi,FinTech,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani",IIFLWealthAssetManagementNorthernArcCapital,20000000,Debt,2021,Finance
138,Gyde,2019,Pune,Computer software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh",BetterCapitalAshishAchrekar,250000,Seed,2021,
139,BatteryPool,2018,Pune,Automotive,Building the Operating System for managing Electric Vehicles in fleets.,Ashwin Shankar,IAN,0,Seed,2021,Automotive
140,AgNext,2016,Chandigarh,AgriTech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,AlphaWaveIncubation,21000000,SeriesA,2021,
141,Xpresslane,2019,Bangalore,Tech startup,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Ashwin Koorakula,PointOneCapitalYatraAngelNetwork(YAN)OpusConsultingManipalTechnologies.,400000,Pre-seed,2021,
142,LoanKuber,2016,New Delhi,Digital mortgage,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,N/A,1200000,Pre-seriesA,2021,
143,OYO,2013,Gurugram,Hospitality,OYO is a global travel tech company that connects its patrons and guests.,Ritesh Agarwal,Microsoft,5000000,SeriesF2,2021,Hospitality
144,Rapido,2015,Bangalore,Information Technology & Services,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh",ShellVenturesYamahaKunalShah,52000000,N/A,2021,
145,YPay,2017,Noida,FinTech,YPay Card is the new way to manage money.,Dr Navneet Gupta,WeFounderCircle,400000,N/A,2021,Finance
146,SleepyCat,2017,Mumbai,Furniture,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq,SaamaCapitalDSGConsumerPartnersSharrpVentures,3800000,N/A,2021,
147,Ultrahuman,2020,Bangalore,Healthcare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",TigerGlobal’sScottSchleifer,17500000,N/A,2021,
148,UpScalio,2021,Gurugram,E-commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,N/A,42000000,N/A,2021,Retail
149,Yellow Class,2020,Gurugram,EdTech,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",ElevationCapital,6000000,N/A,2021,Education
150,Yojak,2019,Gurugram,B2B marketplace,India’s first B2B online marketplace for building material.,Anuj Jain,InfoEdgeVentures,3800000,N/A,2021,
151,CreatorStack,2019,Bangalore,Computer software,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000,N/A,2021,
152,Expertrons,2019,Mumbai,EdTech,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta",VentureCatalystsAuxanoCapitalVentureGarageYogaCapitalAh!VenturesLeadAngels,2300000,N/A,2021,Education
153,Rage Coffee,2018,New Delhi,Food & Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,SixthSenseVentures,5000000,N/A,2021,
154,Klub,2019,Bangalore,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma",9UnicornsSequoiaCapitalIndia’sSurge,20000000,N/A,2021,Finance
155,Navia Life Care,2016,New Delhi,Healtcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta",AnicutAngelFund9Unicorns,1000000,N/A,2021,
156,1K Kirana Bazaar,2018,Gurugram,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh",InfoEdgeFalconEdge,7000000,N/A,2021,
157,Zupee,2018,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh",WestCapGroupTomalesBayCapital,30000000,N/A,2021,
158,Locale.ai,2019,Bangalore,Location Analytics,Location Analytics for Companies With Moving Assets and Ground Operations.,"Rishabh Jain, Aditi Sinha",ChirataeVenturesBetterCapital,1000000,N/A,2021,
159,VerSe Innovation,2018,Bangalore,Media,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi,SigulerGuffBaillieGifford,450000000,N/A,2021,
160,MetroRide,2020,Bangalore,Transportation,"Urban Mobility Affordable, Punctual & Sustainable.","Girish Nagpal, Kaaman Agarwal",N/A,0,Undisclosed,2021,
161,Miko,2015,Mumbai,Consumer Electronics,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar",IIFLAMCMankindPharmaFamilyOfficeAroaVentures,28000000,N/A,2021,
162,Whiz League,2020,New Delhi,EdTech,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITIGrowthOpportunities,300000,N/A,2021,Education
163,Hash,2020,New Delhi,Tobacco,Hash is a new startup in consumer goods.,Shwetank Jain,AmracInvestmentTrust,3500000,N/A,2021,
164,Unacademy,2015,Bangalore,EdTech,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,"Gaurav Munjal, Hemesh Singh, Roman Saini",BhavinTurakhia,0,Undisclosed,2021,Education
165,Log 9 Materials,2014,Bangalore,Deeptech,Log9 Materials is on a mission to make global energy 100% clean.,"Akshay Singhal, Kartik Hajela",AmaraRajaBatteries,8500000,SeriesA+,2021,
166,upGrad,2015,Mumbai,EdTech,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.","Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",IndiaInfolineFinance,25000000,N/A,2021,Education
167,FlashPrep,2020,Bangalore,EdTech,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",VentureHighway,500000,Pre-seed,2021,Education
168,Kenko Health,2019,Mumbai,Insuretech,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel",BEENEXTOrios,1700000,Pre-seriesA,2021,
169,Wiz Freight,2020,Chennai,Logistics & Supply Chain,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000,Seed,2021,
170,Credgenics,2018,New Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Rishabh Goel, Mayank Khera, Anand Agrawal",WestbridgeCapitalTanglinVenturePartners,25000000,SeriesA,2021,Finance
171,BlueLearn,2020,Goa,EdTech,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti",100X.VC﻿﻿TitanCapitalRahulMathurGauravMandlecha,400000,Pre-seed,2021,Education
172,NimbleBox.ai,2018,Chennai,MLOps platform,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",VentureCatalysts,1000000,Seed,2021,
173,Pickrr,2015,Gurugram,Logistics & Supply Chain,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik",IIFLAmicusCapitalAnantaCapital,12000000,SeriesB,2021,
174,Stellaris Venture Partners,2015,Bangalore,Venture Capital,Early-stage tech VC in India.,"Ritesh Banglani, Alok Goyal, Rahul Chowdhri",N/A,225000000,N/A,2021,
175,Grip Invest,2020,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati",VentureHighwayEndiyaPartners,3000000,SeriesA,2021,Finance
176,Heads Up For Tails,2008,New Delhi,Pet care,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",Rashi Sanon,VerlinvestSequoiaCapitalIndia,37000000,SeriesA,2021,
177,Blue Tokai Coffee Roasters,2012,New Delhi,Food & Beverages,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",AnicutAngelFund,2000000,Pre-seriesB,2021,
178,Neeman,2017,Hyderabad,Consumer Goods,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,SixthSenseVentures,2000000,SeriesA,2021,
179,BharatPe,2018,New Delhi,FinTech,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",TigerGlobal,370000000,SeriesE,2021,Finance
180,GoSats,2020,Bangalore,FinTech,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam",AlphabitFundFulgurVenturesStacksAcceleratorSBXCapital,700000,Seed,2021,Finance
181,StockGro,2020,Bangalore,FinTech,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,RootsVenturesVeloPartners,5000000,Pre-seriesA,2021,Finance
182,Onsurity,2020,Bangalore,Healthcare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",NexusVenturePartners,16000000,SeriesA,2021,
183,Khabri,2017,Gurugram,Media,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",N/A,2000000,Pre-seriesA,2021,
184,Celcius,2020,Mumbai,Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,MumbaiAngelsNetworkHuddleLumisPartners,500000,N/A,2021,
185,AyuRythm,2017,Bangalore,Healthcare,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Abhilesh Gupta,SucSEEDIndovationFund,0,Seed,2021,
186,Enguru,2014,Bangalore,EdTech,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,"Arshan Vakil, Tahem Veer Verma, Udit Hinduja",PotenciaVenturesBiskVenturesLetsVentureRonnieScrewvalaArihantPatni,0,Pre-seriesA,2021,Education
187,Rocket Skills,2020,Gurugram,EdTech,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain",BetterCapitalFirstChequeTitanCapital,200000,Pre-seed,2021,Education
188,RenewBuy,2015,Gurugram,FinTech,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,EvolvenceCapital,10000000,SeriesC,2021,Finance
189,Faarms,2020,Bangalore,AgriTech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",N/A,2000000,Seed,2021,
190,UrbanMatrix Technologies,2019,Chennai,Drone,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARAELGI,100000,N/A,2021,
191,Jupiter,2019,Mumbai,Banking,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,NubankGlobalFoundersCapitalSequoiaCapitalIndiaMatrixPartnersIndia,44000000,SeriesB,2021,
192,Pixuate,2012,Bangalore,Deeptech,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEEDIndovationFund,1000000,Seed,2021,
193,Playo,2014,Bangalore,SportsTech,Playo is a one stop destination app for all things sports,Daanish Suhail,ah!VenturesHighTables,500000,Pre-seriesA,2021,
194,Toothsi,2018,Mumbai,Health,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",EightRoadsVenturesThinkInvestmentsMankekarFamilyOffice,20000000,SeriesB,2021,
195,Soothe Healthcare,2012,New Delhi,Consumer Goods,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91Partners,10000000,SeriesC,2021,
196,Goodmeetings,2020,Bangalore,Computer software,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,ChirataeVentures,1700000,SeriesA,2021,
197,Apnaklub,2020,Bangalore,Wholesale,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’sSurge,3500000,Seed,2021,
198,ChefKart,2020,Gurugram,Consumer Goods,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta",LeadAngelsTitanCapitalPravegaVentures,300000,Pre-seed,2021,
199,Fashinza,2020,Gurugram,Apparel & Fashion,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma",AccelPartnersElevationCapital,20000000,SeriesA,2021,
200,Fabheads,2015,Chennai,Industrial Automation,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,Dhinesh Kanagaraj,InflectionPointVenturesRockstudCapitalFirstPortCapitalBlissFlowInvestmentsPvtLtd,0,Pre-seriesA,2021,
201,QuickShift,2016,Pune,Logistics & Supply Chain,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,AnicutAngelFundAxilorVentures,770000,Seed,2021,
202,StackBOX,2016,Bangalore,Logistics & Supply Chain,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee",EcosystemVenturesCMMgroup,1200000,N/A,2021,
203,MedPrime Technologies,2014,Thane,Healthcare,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor",MumbaiAngelsNetworkSocialAlpha,0,Seed,2021,
204,infra.market,2016,Thane,Construction,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Souvik Sengupta, Aaditya Sharda",TigerGlobal,125000000,SeriesD,2021,
205,CollegeDekho,2015,Gurgaon,E-learning,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",Ruchir Arora,DisruptADQQIC,35000000,SeriesB,2021,
206,BOX8,2012,Mumbai,Food & Beverages,India's Largest Desi Meals Brand,"Anshul Gupta, Amit Raj",TigerGlobal,40000000,N/A,2021,
207,Simpl,2015,Bangalore,Consumer Services,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Nitya, Chaitra Chidanand",ValarVenturesIAVentures,40000000,SeriesB,2021,
208,8i Ventures,2018,Mumbai,Venture Capital & Private Equity,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Vikram Chachra,N/A,50000000,N/A,2021,
209,PayGlocal,2021,Bangalore,Financial Services,PayGlocal is a FinTech solving for global payments acceptance,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",SequoiaCapitalIndia,4900000,SeriesA,2021,Finance
210,Curefit,2016,Bangalore,"Health, Wellness & Fitness",Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,145000000,N/A,2021,
